ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.221.11,125,6,142.251.220.46,1665372721.0898497,118,36168,PA,443
142.251.220.46,52,6,192.168.221.11,1665372721.0905442,64,443,FA,36168
192.168.221.11,52,6,142.251.220.46,1665372721.0909507,118,36168,FA,443
142.251.220.46,52,6,192.168.221.11,1665372721.0913377,64,443,A,36168
216.239.32.29,52,6,192.168.221.11,1665372721.09895,64,80,A,54792
192.168.221.11,52,6,216.239.32.29,1665372721.0993452,117,54792,A,80
172.67.188.142,113,6,192.168.221.11,1665372721.1003137,64,443,PA,33412
172.67.188.142,1059,6,192.168.221.11,1665372721.1008,64,443,PA,33412
192.168.221.11,40,6,172.67.188.142,1665372721.1018755,55,33412,A,443
192.168.221.11,79,6,172.67.188.142,1665372721.1023266,55,33412,PA,443
172.67.188.142,40,6,192.168.221.11,1665372721.1028094,64,443,A,33412
192.168.221.11,153,6,172.67.188.142,1665372721.103161,55,33412,PA,443
172.67.188.142,40,6,192.168.221.11,1665372721.1036384,64,443,A,33412
192.168.221.11,71,6,172.67.188.142,1665372721.103992,55,33412,PA,443
172.67.188.142,40,6,192.168.221.11,1665372721.1044476,64,443,A,33412
172.67.188.142,75,6,192.168.221.11,1665372721.1048043,64,443,PA,33412
192.168.221.11,40,6,172.67.188.142,1665372721.1159256,55,33412,A,443
104.18.42.171,95,6,192.168.221.11,1665372721.1208475,64,443,PA,39146
104.18.42.171,238,6,192.168.221.11,1665372721.1213396,64,443,PA,39146
185.199.108.153,223,6,192.168.221.11,1665372721.1219342,64,443,PA,59458
185.199.108.153,91,6,192.168.221.11,1665372721.1224372,64,443,PA,59458
192.168.221.11,40,6,104.18.42.171,1665372721.122962,55,39146,A,443
192.168.221.11,40,6,104.18.42.171,1665372721.1233807,55,39146,A,443
192.168.221.11,75,6,104.18.42.171,1665372721.1237886,55,39146,PA,443
192.168.221.11,79,6,104.18.42.171,1665372721.1242664,55,39146,PA,443
104.18.42.171,40,6,192.168.221.11,1665372721.1247182,64,443,A,39146
192.168.221.11,596,6,104.18.42.171,1665372721.1250741,55,39146,PA,443
104.18.42.171,75,6,192.168.221.11,1665372721.1255386,64,443,PA,39146
192.168.221.11,52,6,185.199.108.153,1665372721.1260169,54,59458,A,443
192.168.221.11,52,6,185.199.108.153,1665372721.1264129,54,59458,A,443
192.168.221.11,91,6,185.199.108.153,1665372721.1267743,54,59458,PA,443
185.199.108.153,52,6,192.168.221.11,1665372721.1272643,64,443,A,59458
192.168.221.11,40,6,104.18.42.171,1665372721.1276293,55,39146,A,443
192.168.221.11,228,6,185.199.108.153,1665372721.1291702,54,59458,PA,443
